idade,renda_mensal,valor_emprestimo,historico_atraso,score_credito,tempo_emprego_anos,emprestimos_anteriores,inadimplente
33,3066.05,10612.98,0,871,3,0,0
56,4904.58,21036.75,0,786,15,4,0
22,4992.79,21671.88,0,450,29,4,1
39,2683.27,18591.6,0,505,11,1,1
46,8006.8,20075.67,0,478,29,0,0
20,6754.72,18613.25,1,496,3,0,1
29,4558.07,10509.63,0,388,2,0,0
43,5053.77,18023.46,0,733,21,3,0
33,5416.77,20602.87,0,482,16,3,0
68,1000.0,20280.04,0,508,21,1,1
54,4505.65,23322.39,0,792,17,0,0
39,3636.03,19958.13,0,429,24,5,0
46,2996.76,17460.14,1,312,17,0,1
31,4437.8,22491.05,0,405,22,4,1
45,8595.37,14814.35,0,674,27,4,0
22,6281.69,8826.88,0,881,16,1,0
64,3857.64,13858.53,0,398,11,5,0
66,6145.17,9785.68,0,893,22,0,0
47,7798.71,10273.75,0,886,20,6,0
63,6849.27,13988.37,0,491,23,5,0
69,5119.26,9453.06,0,624,3,7,0
22,3706.13,12844.27,0,766,11,1,0
29,6396.45,1744.7,0,666,25,4,0
33,5786.97,16493.06,0,617,22,6,0
43,6790.39,15008.44,1,443,21,4,1
43,6270.34,9280.38,0,683,20,3,0
65,7099.11,19614.72,1,515,19,1,1
38,3929.53,21562.99,0,660,14,1,0
56,7634.79,3747.08,1,623,22,0,1
53,5395.2,9660.93,0,314,27,0,0
50,9150.52,9616.0,0,516,15,3,0
47,3621.62,8420.68,0,791,4,6,0
54,8471.93,20806.32,1,846,20,7,0
40,5395.82,13643.22,0,482,14,2,0
27,3697.16,13148.4,0,569,16,5,0
22,4032.23,1000.0,0,766,17,2,0
53,4359.31,19447.93,1,818,4,2,1
51,5848.33,6325.19,0,841,12,1,0
69,6045.67,15419.53,1,766,18,5,1
48,3852.6,16941.64,0,604,29,1,0
27,4951.29,24524.61,0,443,12,7,0
36,9284.54,5838.26,0,410,17,5,0
49,8455.09,1000.0,1,531,13,4,1
18,5872.65,16286.95,0,883,29,1,0
22,5076.01,27603.58,1,891,3,1,1
62,5240.06,23672.62,0,799,3,1,0
21,6227.04,16467.62,0,894,19,6,0
33,2954.41,11558.55,0,853,19,3,0
41,4485.25,20649.86,0,572,18,1,0
33,1662.83,8185.18,1,472,12,7,1
19,5798.45,18334.5,1,306,11,0,1
66,6294.39,18538.29,1,454,6,0,1
45,4033.63,22421.47,0,821,24,5,0
49,8147.97,34317.62,0,845,11,4,0
44,2548.47,17746.91,0,847,20,3,0
37,2071.25,11437.25,1,817,3,6,1
41,5448.9,14820.98,0,514,26,5,0
29,7094.2,2616.47,0,433,1,0,0
67,8367.86,10137.01,0,584,1,3,0
52,4082.23,12135.02,0,425,4,3,0
50,7157.36,11331.38,1,738,22,4,1
50,4922.98,16066.48,0,451,9,7,0
68,4654.75,9243.06,0,630,9,3,0
60,6767.32,22847.21,0,837,8,1,0
54,6304.65,15001.45,0,682,12,3,0
29,1847.22,14934.9,0,414,6,4,1
20,7953.08,12704.74,0,781,4,5,0
18,7760.18,16086.33,1,583,25,4,1
50,3748.87,20775.69,1,374,9,6,1
57,5791.61,8930.09,0,465,9,4,0
27,5988.06,10393.18,0,488,5,0,0
60,5521.35,12873.92,1,377,26,1,1
61,3899.39,5578.9,0,320,27,7,0
46,3656.75,9265.19,0,865,18,0,0
30,4948.89,11666.45,0,483,20,5,0
29,7345.46,21120.72,0,521,7,2,0
48,6087.2,16837.93,0,627,0,5,0
63,4258.77,16355.13,1,478,27,1,1
19,6543.4,20956.29,0,411,16,3,0
68,1000.0,14038.4,0,358,6,4,1
67,7297.53,17733.25,0,626,13,2,0
52,1520.57,14277.45,0,490,20,1,1
40,4275.12,16857.54,0,499,29,0,0
34,2760.66,10920.69,1,611,20,4,1
43,2410.64,1000.0,1,334,16,5,1
25,7321.65,14060.05,0,678,8,0,0
46,4064.6,24959.24,1,686,16,1,1
43,5693.01,21483.51,1,536,4,1,1
27,4906.16,21757.78,1,818,25,5,1
43,5954.08,23652.92,0,582,24,2,0
51,5153.64,15620.6,0,300,29,5,0
68,2434.02,16381.21,0,763,19,3,0
58,6992.53,10676.44,0,529,28,0,0
24,4012.49,12787.49,0,471,7,2,0
21,1886.84,19310.4,0,386,5,4,1
67,4143.77,23427.19,1,852,10,6,1
62,8001.52,14023.88,1,422,18,3,1
28,6700.44,11848.68,1,597,3,2,1
46,4302.7,15003.7,0,874,17,6,0
53,4301.48,19208.45,0,783,0,6,0
42,4356.73,4893.02,0,464,12,0,0
38,9153.5,1000.0,0,682,13,1,0
53,5763.87,11146.24,0,508,23,4,0
27,5860.08,6455.01,0,731,0,5,0
54,7060.57,11443.02,0,688,29,0,0
26,5477.58,13965.54,1,859,28,3,0
41,4481.92,11827.26,0,523,10,7,0
52,4607.3,25167.27,0,302,16,6,1
66,4856.8,17287.21,0,671,3,3,0
52,4925.56,17103.32,0,745,25,6,0
65,6455.26,19355.45,0,415,11,1,0
53,5103.89,7028.17,0,569,9,7,0
35,6465.28,22273.78,0,746,5,1,0
66,4838.57,14469.65,0,667,24,4,0
56,5157.27,19693.36,0,552,0,5,0
49,1003.6,7497.0,0,616,6,4,0
41,6832.66,4123.69,0,714,25,1,0
40,5692.98,20725.23,1,394,26,1,1
49,6996.02,17634.87,0,323,20,3,0
54,1000.0,8685.64,0,349,27,1,1
29,9176.75,8912.36,0,801,15,7,0
66,4720.82,22878.04,1,797,23,7,1
30,7216.37,6674.12,1,634,13,2,1
40,2920.19,26498.71,0,378,22,6,1
42,6225.55,8695.65,0,881,19,0,0
52,2893.17,19468.74,1,326,19,1,1
58,3752.46,12699.67,0,570,5,4,0
47,8828.06,19222.31,0,861,21,5,0
34,4618.64,11191.2,0,546,24,6,0
66,5434.87,13860.45,1,890,27,6,0
37,6740.14,15286.43,1,686,4,5,1
